accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,attribute,model,version,seed,fold,best_params
0.9933499584372403,0.989490788059858,0.993307608145033,0.9958762886597938,0.9834024896265561,0.9998619749657094,time_of_day,LogisticRegression,base,42,0,
0.9933499584372403,0.989490788059858,0.993307608145033,0.9958762886597938,0.9834024896265561,0.9998619749657094,time_of_day,LogisticRegression,base,7,0,
0.9933499584372403,0.989490788059858,0.993307608145033,0.9958762886597938,0.9834024896265561,0.9998619749657094,time_of_day,LogisticRegression,base,123,0,
0.9866999168744804,0.9787089066855449,0.9865264349707857,0.9918200408997955,0.966804979253112,0.999814528860172,time_of_day,LogisticRegression,tuned,42,0,{'clf__C': 0.1}
0.9933499584372403,0.989490788059858,0.993307608145033,0.9958762886597938,0.9834024896265561,0.9998619749657094,time_of_day,LogisticRegression,tuned,7,0,{'clf__C': 1.0}
0.999168744804655,0.9987007587007588,0.9991680966244559,0.9994807892004154,0.9979253112033195,0.9999309874828547,time_of_day,LogisticRegression,tuned,123,0,{'clf__C': 10.0}
0.9775561097256857,0.9634101418827201,0.9770454932393756,0.9863498483316482,0.9439834024896265,0.9986930754565609,time_of_day,SVM_RBF,base,42,0,
0.9775561097256857,0.9634101418827201,0.9770454932393756,0.9863498483316482,0.9439834024896265,0.9986887621742394,time_of_day,SVM_RBF,base,7,0,
0.9775561097256857,0.9634101418827201,0.9770454932393756,0.9863498483316482,0.9439834024896265,0.9986930754565609,time_of_day,SVM_RBF,base,123,0,
0.9775561097256857,0.9634101418827201,0.9770454932393756,0.9863498483316482,0.9439834024896265,0.9986930754565609,time_of_day,SVM_RBF,tuned,42,0,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
0.9775561097256857,0.9634101418827201,0.9770454932393756,0.9863498483316482,0.9439834024896265,0.9986887621742394,time_of_day,SVM_RBF,tuned,7,0,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
0.9775561097256857,0.9634101418827201,0.9770454932393756,0.9863498483316482,0.9439834024896265,0.9986930754565609,time_of_day,SVM_RBF,tuned,123,0,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
0.9800498753117207,0.9676389623665074,0.9796500606665056,0.9878296146044625,0.950207468879668,1.0,time_of_day,RandomForest,base,42,0,
0.9750623441396509,0.9591375983913188,0.9744262024985723,0.9848790322580645,0.9377593360995851,1.0,time_of_day,RandomForest,base,7,0,
0.9750623441396509,0.9591375983913188,0.9744262024985723,0.9848790322580645,0.9377593360995851,1.0,time_of_day,RandomForest,base,123,0,
0.9808811305070657,0.9690390109133877,0.9805150434766159,0.9883248730964467,0.9522821576763485,1.0,time_of_day,RandomForest,tuned,42,0,"{'max_depth': None, 'min_samples_split': 5}"
0.9775561097256857,0.9634101418827201,0.9770454932393756,0.9863498483316482,0.9439834024896265,1.0,time_of_day,RandomForest,tuned,7,0,"{'max_depth': None, 'min_samples_split': 5}"
0.9800498753117207,0.9676389623665074,0.9796500606665056,0.9878296146044625,0.950207468879668,1.0,time_of_day,RandomForest,tuned,123,0,"{'max_depth': None, 'min_samples_split': 10}"
0.9975062344139651,0.9961263731840697,0.9975119998508587,0.9938524590163935,0.9984407484407485,0.9999439273298195,time_of_day,XGBoost,base,42,0,
0.9975062344139651,0.9961263731840697,0.9975119998508587,0.9938524590163935,0.9984407484407485,0.9999439273298195,time_of_day,XGBoost,base,7,0,
