accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,attribute,baseline,seed,fold
0.4995843724023275,0.4541709375942116,0.5485314174116512,0.5063132570101211,0.5098472235401696,,time_of_day,random,42,0
0.799667497921862,0.4443418013856813,0.7106513930723614,0.399833748960931,0.5,,time_of_day,majority,42,0
0.47298420615128844,0.4233313171026766,0.5247469913351105,0.4767170887860543,0.4636713796464834,,time_of_day,random,7,0
0.799667497921862,0.4443418013856813,0.7106513930723614,0.399833748960931,0.5,,time_of_day,majority,7,0
0.5328345802161264,0.48135732083021365,0.5792863551765013,0.5236402368173518,0.5368569974379103,,time_of_day,random,123,0
0.799667497921862,0.4443418013856813,0.7106513930723614,0.399833748960931,0.5,,time_of_day,majority,123,0
0.49791492910758967,0.45259279707805994,0.5465212736030273,0.504133680729532,0.5064120832145911,,time_of_day,random,42,1
0.7981651376146789,0.44387755102040816,0.7085751731885415,0.39908256880733944,0.5,,time_of_day,majority,42,1
0.46788990825688076,0.4180143031040779,0.5196127580449725,0.47111932947088975,0.45518666286691367,,time_of_day,random,7,1
0.7981651376146789,0.44387755102040816,0.7085751731885415,0.39908256880733944,0.5,,time_of_day,majority,7,1
0.5337781484570475,0.4829285039248587,0.5796239715858028,0.5246004823733214,0.5381400208986415,,time_of_day,random,123,1
0.7981651376146789,0.44387755102040816,0.7085751731885415,0.39908256880733944,0.5,,time_of_day,majority,123,1
0.49917081260364843,0.45368145368145374,0.5485816679846531,0.506662373687339,0.5104425465838509,,time_of_day,random,42,2
0.8009950248756219,0.4447513812154696,0.7124872873203045,0.40049751243781095,0.5,,time_of_day,majority,42,2
0.47429519071310117,0.42411388114784965,0.5264499225646266,0.4777863351303774,0.4651656314699793,,time_of_day,random,7,2
0.8009950248756219,0.4447513812154696,0.7124872873203045,0.40049751243781095,0.5,,time_of_day,majority,7,2
0.5298507462686567,0.4777246949647706,0.577051501386349,0.5208844295800817,0.5327251552795031,,time_of_day,random,123,2
0.8009950248756219,0.4447513812154696,0.7124872873203045,0.40049751243781095,0.5,,time_of_day,majority,123,2
0.4987593052109181,0.4537618022295254,0.5477767580263834,0.5064516129032258,0.5100677737229397,,time_of_day,random,42,3
0.7998345740281224,0.4443933823529412,0.7108823833503625,0.3999172870140612,0.5,,time_of_day,majority,42,3
0.4731182795698925,0.4230975807992089,0.5249655768911908,0.4763395716217178,0.46305776577469726,,time_of_day,random,7,3
0.7998345740281224,0.4443933823529412,0.7108823833503625,0.3999172870140612,0.5,,time_of_day,majority,7,3
0.5285359801488834,0.4765518184304074,0.5754718112017855,0.5193780507179288,0.5302310972847779,,time_of_day,random,123,3
0.7998345740281224,0.4443933823529412,0.7108823833503625,0.3999172870140612,0.5,,time_of_day,majority,123,3
0.49916943521594687,0.4538006495602265,0.5481991027113218,0.5061456400742115,0.5095913961815385,,time_of_day,random,42,4
0.7998338870431894,0.44439317028149516,0.7108814335233884,0.3999169435215947,0.5,,time_of_day,majority,42,4
0.47259136212624586,0.4229917275908731,0.5244391387368763,0.47657172821107247,0.46342256865000886,,time_of_day,random,7,4
0.7998338870431894,0.44439317028149516,0.7108814335233884,0.3999169435215947,0.5,,time_of_day,majority,7,4
0.532392026578073,0.48096096785926223,0.5789378132286064,0.5234478568272205,0.5365817401533072,,time_of_day,random,123,4
0.7998338870431894,0.44439317028149516,0.7108814335233884,0.3999169435215947,0.5,,time_of_day,majority,123,4
0.5120532003325021,0.46804917238734967,0.5594910686086346,0.5187697030031525,0.5291857655162924,,weather,random,42,0
0.798836242726517,0.44408502772643255,0.7095024300001691,0.3994181213632585,0.5,,weather,majority,42,0
0.4837905236907731,0.4354566785434953,0.5341840497392133,0.487514720273341,0.48057937238241843,,weather,random,7,0
0.798836242726517,0.44408502772643255,0.7095024300001691,0.3994181213632585,0.5,,weather,majority,7,0
0.515378221113882,0.4622896900695762,0.563270255733216,0.5061929397443701,0.5096253902185224,,weather,random,123,0
0.798836242726517,0.44408502772643255,0.7095024300001691,0.3994181213632585,0.5,,weather,majority,123,0
0.4845704753961635,0.4097040322734834,0.5638201997321153,0.49221002995178764,0.4831659047160731,,weather,random,42,1
0.8665554628857381,0.4642537980339589,0.8046033297035584,0.4332777314428691,0.5,,weather,majority,42,1
0.49791492910758967,0.42261333384528743,0.5754773112946261,0.5018894806849994,0.5040844562078922,,weather,random,7,1
0.8665554628857381,0.4642537980339589,0.8046033297035584,0.4332777314428691,0.5,,weather,majority,7,1
0.5087572977481234,0.42483326369868313,0.5859014425839626,0.49744330999448555,0.4944778633301251,,weather,random,123,1
0.8665554628857381,0.4642537980339589,0.8046033297035584,0.4332777314428691,0.5,,weather,majority,123,1
0.4925373134328358,0.4201923076923077,0.5699770378874857,0.5016346344362987,0.5035121328224776,,weather,random,42,2
0.8656716417910447,0.464,0.8033432835820895,0.43283582089552236,0.5,,weather,majority,42,2
0.494195688225539,0.41894667003664854,0.5718720940979419,0.4984404224887226,0.4966475095785441,,weather,random,7,2
0.8656716417910447,0.464,0.8033432835820895,0.43283582089552236,0.5,,weather,majority,7,2
0.5281923714759535,0.44827236875429644,0.6018441386900297,0.5172922085965564,0.5371434653043848,,weather,random,123,2
0.8656716417910447,0.464,0.8033432835820895,0.43283582089552236,0.5,,weather,majority,123,2
0.49296939619520264,0.43541900760654684,0.5551417071834654,0.5014855687606112,0.5026564749434428,,weather,random,42,3
0.8320926385442514,0.454176072234763,0.755833132618977,0.4160463192721257,0.5,,weather,majority,42,3
0.5037220843672456,0.444417212497013,0.5649787621471315,0.5072938162669892,0.5130497801369125,,weather,random,7,3
0.8320926385442514,0.454176072234763,0.755833132618977,0.4160463192721257,0.5,,weather,majority,7,3
0.5045492142266336,0.43655045083526484,0.566557610366858,0.4943806529015717,0.48995436249498087,,weather,random,123,3
0.8320926385442514,0.454176072234763,0.755833132618977,0.4160463192721257,0.5,,weather,majority,123,3
0.4908637873754153,0.4831593962774692,0.5000356815396367,0.4939703153988868,0.49350933033763966,,weather,random,42,4
0.6337209302325582,0.3879003558718861,0.491641148721344,0.3168604651162791,0.5,,weather,majority,42,4
0.4941860465116279,0.48588388642041447,0.5033564063509421,0.4959623557984214,0.49565208346335476,,weather,random,7,4
0.6337209302325582,0.3879003558718861,0.491641148721344,0.3168604651162791,0.5,,weather,majority,7,4
0.5041528239202658,0.49294534680704727,0.5131062832900437,0.5001546619531596,0.50016642742724,,weather,random,123,4
0.6337209302325582,0.3879003558718861,0.491641148721344,0.3168604651162791,0.5,,weather,majority,123,4
0.3167082294264339,0.31159559529594516,0.3211418654358434,0.31559863777403313,0.31381247140737106,,vehicle_density,random,42,0
0.24438902743142144,0.13092852371409486,0.09599248372055832,0.08146300914380715,0.3333333333333333,,vehicle_density,majority,42,0
0.33000831255195345,0.3257946655877046,0.33271954620226585,0.327695799997165,0.3298359666447224,,vehicle_density,random,7,0
0.24438902743142144,0.13092852371409486,0.09599248372055832,0.08146300914380715,0.3333333333333333,,vehicle_density,majority,7,0
0.33665835411471323,0.3340609911249859,0.3394368902509618,0.3369222276617585,0.33891548235842545,,vehicle_density,random,123,0
0.24438902743142144,0.13092852371409486,0.09599248372055832,0.08146300914380715,0.3333333333333333,,vehicle_density,majority,123,0
0.3327773144286906,0.31285577628506056,0.3538716589523957,0.33460628056517394,0.3242947305667036,,vehicle_density,random,42,1
0.40283569641367806,0.19143876337693222,0.23135510269655948,0.13427856547122602,0.3333333333333333,,vehicle_density,majority,42,1
0.3269391159299416,0.31342466682171677,0.34270685540686613,0.33104890502925227,0.33702134634554093,,vehicle_density,random,7,1
0.40283569641367806,0.19143876337693222,0.23135510269655948,0.13427856547122602,0.3333333333333333,,vehicle_density,majority,7,1
0.3177648040033361,0.30043462745697785,0.3354645738023258,0.3183145071842437,0.31524434727677714,,vehicle_density,random,123,1
0.40283569641367806,0.19143876337693222,0.23135510269655948,0.13427856547122602,0.3333333333333333,,vehicle_density,majority,123,1
0.3598673300165838,0.3501079491364069,0.37061809898555637,0.3616553442600871,0.3594311390779969,,vehicle_density,random,42,2
0.37976782752902155,0.18349358974358976,0.20905488582727388,0.1265892758430072,0.3333333333333333,,vehicle_density,majority,42,2
0.3407960199004975,0.33394188633452443,0.34939488494291165,0.3442910339491247,0.346673503631924,,vehicle_density,random,7,2
0.37976782752902155,0.18349358974358976,0.20905488582727388,0.1265892758430072,0.3333333333333333,,vehicle_density,majority,7,2
0.34245439469320066,0.3322611704972938,0.35320242024258464,0.3432265560787798,0.33938712641959273,,vehicle_density,random,123,2
0.37976782752902155,0.18349358974358976,0.20905488582727388,0.1265892758430072,0.3333333333333333,,vehicle_density,majority,123,2
0.3200992555831266,0.31871024018898303,0.32188049562341914,0.32082105878888717,0.31957606655487486,,vehicle_density,random,42,3
0.34739454094292804,0.17188459177409454,0.17913530656357246,0.11579818031430934,0.3333333333333333,,vehicle_density,majority,42,3
0.3424317617866005,0.34123418738803357,0.34453532334807385,0.3441320391557266,0.3423412625468769,,vehicle_density,random,7,3
0.34739454094292804,0.17188459177409454,0.17913530656357246,0.11579818031430934,0.3333333333333333,,vehicle_density,majority,7,3
