accuracy,macro_f1,macro_precision,macro_recall,f1_class_0,f1_class_1,fit_time_sec,fold,attribute,subset,model,seed,n_features,f1_class_2
0.5679012345679012,0.5676376391642519,0.5685434516523868,0.5682926829268293,0.5569620253164557,0.5783132530120482,1.5917563438415527,0,time_of_day,hog_only,LogisticRegression,42,6084,
0.5679012345679012,0.5676376391642519,0.5685434516523868,0.5682926829268293,0.5569620253164557,0.5783132530120482,1.2719848155975342,0,time_of_day,hog_only,LogisticRegression,7,6084,
0.5679012345679012,0.5676376391642519,0.5685434516523868,0.5682926829268293,0.5569620253164557,0.5783132530120482,1.2933540344238281,0,time_of_day,hog_only,LogisticRegression,123,6084,
0.6049382716049383,0.5263157894736842,0.7808219178082192,0.6,0.7192982456140351,0.3333333333333333,1.2350959777832031,0,time_of_day,hog_only,SVM_RBF,42,6084,
0.6049382716049383,0.5263157894736842,0.7808219178082192,0.6,0.7192982456140351,0.3333333333333333,0.257568359375,0,time_of_day,hog_only,SVM_RBF,7,6084,
0.6049382716049383,0.5263157894736842,0.7808219178082192,0.6,0.7192982456140351,0.3333333333333333,0.2577474117279053,0,time_of_day,hog_only,SVM_RBF,123,6084,
0.5308641975308642,0.4375,0.5727739726027397,0.5259146341463414,0.6666666666666666,0.20833333333333334,0.6250498294830322,0,time_of_day,hog_only,RandomForest,42,6084,
0.49382716049382713,0.40021672385768464,0.4722222222222222,0.48902439024390243,0.6371681415929203,0.16326530612244897,0.7041144371032715,0,time_of_day,hog_only,RandomForest,7,6084,
0.5185185185185185,0.4294744446451147,0.5347222222222222,0.5137195121951219,0.6548672566371682,0.20408163265306123,0.6293463706970215,0,time_of_day,hog_only,RandomForest,123,6084,
0.6419753086419753,0.6364339885466646,0.6487096774193548,0.640548780487805,0.6813186813186813,0.5915492957746479,6.823390007019043,0,time_of_day,hog_only,XGBoost,42,6084,
0.6419753086419753,0.6364339885466646,0.6487096774193548,0.640548780487805,0.6813186813186813,0.5915492957746479,6.8409411907196045,0,time_of_day,hog_only,XGBoost,7,6084,
0.6419753086419753,0.6364339885466646,0.6487096774193548,0.640548780487805,0.6813186813186813,0.5915492957746479,8.03955888748169,0,time_of_day,hog_only,XGBoost,123,6084,
0.4074074074074074,0.3202797202797203,0.31233766233766236,0.41189024390243906,0.07692307692307693,0.5636363636363636,1.5499379634857178,0,time_of_day,hog_only,MLP,42,6084,
0.49382716049382713,0.35098690639046315,0.49683544303797467,0.4996951219512195,0.046511627906976744,0.6554621848739496,1.2467243671417236,0,time_of_day,hog_only,MLP,7,6084,
0.48148148148148145,0.325,0.24375,0.4875,0.0,0.65,1.1649792194366455,0,time_of_day,hog_only,MLP,123,6084,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.01602029800415039,0,time_of_day,color_only,LogisticRegression,42,96,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.014513254165649414,0,time_of_day,color_only,LogisticRegression,7,96,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.01451420783996582,0,time_of_day,color_only,LogisticRegression,123,96,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.013520479202270508,0,time_of_day,color_only,SVM_RBF,42,96,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.01401209831237793,0,time_of_day,color_only,SVM_RBF,7,96,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.014519214630126953,0,time_of_day,color_only,SVM_RBF,123,96,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.5065100193023682,0,time_of_day,color_only,RandomForest,42,96,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.50126051902771,0,time_of_day,color_only,RandomForest,7,96,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.5131375789642334,0,time_of_day,color_only,RandomForest,123,96,
0.8765432098765432,0.8742236024844721,0.9019607843137255,0.875,0.8913043478260869,0.8571428571428571,0.10666298866271973,0,time_of_day,color_only,XGBoost,42,96,
0.8765432098765432,0.8742236024844721,0.9019607843137255,0.875,0.8913043478260869,0.8571428571428571,0.09967470169067383,0,time_of_day,color_only,XGBoost,7,96,
0.8765432098765432,0.8742236024844721,0.9019607843137255,0.875,0.8913043478260869,0.8571428571428571,0.3039982318878174,0,time_of_day,color_only,XGBoost,123,96,
0.8024691358024691,0.7987577639751553,0.8225490196078431,0.8009146341463416,0.8260869565217391,0.7714285714285715,0.04642343521118164,0,time_of_day,color_only,MLP,42,96,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.05759072303771973,0,time_of_day,color_only,MLP,7,96,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.05577802658081055,0,time_of_day,color_only,MLP,123,96,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.017017126083374023,0,time_of_day,lbp_only,LogisticRegression,42,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.016038894653320312,0,time_of_day,lbp_only,LogisticRegression,7,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.015021324157714844,0,time_of_day,lbp_only,LogisticRegression,123,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.014127016067504883,0,time_of_day,lbp_only,SVM_RBF,42,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.013300657272338867,0,time_of_day,lbp_only,SVM_RBF,7,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.013528108596801758,0,time_of_day,lbp_only,SVM_RBF,123,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.48171019554138184,0,time_of_day,lbp_only,RandomForest,42,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.48981809616088867,0,time_of_day,lbp_only,RandomForest,7,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.5145905017852783,0,time_of_day,lbp_only,RandomForest,123,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.06328344345092773,0,time_of_day,lbp_only,XGBoost,42,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.060033559799194336,0,time_of_day,lbp_only,XGBoost,7,26,
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0.23703885078430176,0,time_of_day,lbp_only,XGBoost,123,26,
0.7654320987654321,0.7532467532467533,0.823088455772114,0.7628048780487805,0.8080808080808081,0.6984126984126984,0.03705286979675293,0,time_of_day,lbp_only,MLP,42,26,
0.7901234567901234,0.7792207792207793,0.853448275862069,0.7875,0.8282828282828283,0.7301587301587301,0.055052995681762695,0,time_of_day,lbp_only,MLP,7,26,
0.7777777777777778,0.7648387096774194,0.847457627118644,0.775,0.82,0.7096774193548387,0.0530552864074707,0,time_of_day,lbp_only,MLP,123,26,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.015111207962036133,0,time_of_day,photo_only,LogisticRegression,42,10,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.01352071762084961,0,time_of_day,photo_only,LogisticRegression,7,10,
0.8271604938271605,0.8210227272727273,0.8727272727272728,0.825,0.8541666666666666,0.7878787878787878,0.014021873474121094,0,time_of_day,photo_only,LogisticRegression,123,10,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.013030529022216797,0,time_of_day,photo_only,SVM_RBF,42,10,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.012891292572021484,0,time_of_day,photo_only,SVM_RBF,7,10,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.01302337646484375,0,time_of_day,photo_only,SVM_RBF,123,10,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.46161413192749023,0,time_of_day,photo_only,RandomForest,42,10,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.43641090393066406,0,time_of_day,photo_only,RandomForest,7,10,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.5013151168823242,0,time_of_day,photo_only,RandomForest,123,10,
0.8395061728395061,0.8345640219952868,0.8796296296296297,0.8375,0.8631578947368421,0.8059701492537313,0.04907703399658203,0,time_of_day,photo_only,XGBoost,42,10,
