accuracy,macro_f1,fit_time,preprocessing,attribute,model,seed,fold
0.5185185185185185,0.5182247979258807,0.029946088790893555,none,time_of_day,LogReg,42,0
0.5802469135802469,0.4838830584707646,0.22545242309570312,none,time_of_day,RandomForest,42,0
0.5185185185185185,0.5182247979258807,0.026545047760009766,none,time_of_day,LogReg,7,0
0.6049382716049383,0.5371428571428571,0.2204418182373047,none,time_of_day,RandomForest,7,0
0.5185185185185185,0.5182247979258807,0.025561094284057617,none,time_of_day,LogReg,123,0
0.6296296296296297,0.5660714285714286,0.21299290657043457,none,time_of_day,RandomForest,123,0
0.2345679012345679,0.2766385661122503,0.24171805381774902,none,vehicle_density,LogReg,42,0
0.1728395061728395,0.2139917695473251,0.23643827438354492,none,vehicle_density,RandomForest,42,0
0.2345679012345679,0.2766385661122503,0.22499346733093262,none,vehicle_density,LogReg,7,0
0.1728395061728395,0.20544158300596538,0.21647214889526367,none,vehicle_density,RandomForest,7,0
0.2345679012345679,0.2766385661122503,0.21155977249145508,none,vehicle_density,LogReg,123,0
0.20987654320987653,0.2345727332028702,0.26149606704711914,none,vehicle_density,RandomForest,123,0
0.38271604938271603,0.375,0.054012298583984375,none,vru_present,LogReg,42,0
0.43209876543209874,0.3723045822102426,0.23144960403442383,none,vru_present,RandomForest,42,0
0.38271604938271603,0.375,0.05108237266540527,none,vru_present,LogReg,7,0
0.43209876543209874,0.3611111111111111,0.22706079483032227,none,vru_present,RandomForest,7,0
0.38271604938271603,0.375,0.05306839942932129,none,vru_present,LogReg,123,0
0.4074074074074074,0.33333333333333337,0.22949957847595215,none,vru_present,RandomForest,123,0
0.6296296296296297,0.6295731707317074,0.02139902114868164,hist_eq,time_of_day,LogReg,42,0
0.5432098765432098,0.4307692307692308,0.22355031967163086,hist_eq,time_of_day,RandomForest,42,0
0.6296296296296297,0.6295731707317074,0.021556854248046875,hist_eq,time_of_day,LogReg,7,0
0.5679012345679012,0.4754856614246068,0.21648573875427246,hist_eq,time_of_day,RandomForest,7,0
0.6296296296296297,0.6295731707317074,0.022550344467163086,hist_eq,time_of_day,LogReg,123,0
0.5802469135802469,0.4838830584707646,0.2170543670654297,hist_eq,time_of_day,RandomForest,123,0
0.18518518518518517,0.18556421918995017,0.22613096237182617,hist_eq,vehicle_density,LogReg,42,0
0.18518518518518517,0.2023809523809524,0.2614572048187256,hist_eq,vehicle_density,RandomForest,42,0
0.18518518518518517,0.18556421918995017,0.23210430145263672,hist_eq,vehicle_density,LogReg,7,0
0.20987654320987653,0.25,0.24925971031188965,hist_eq,vehicle_density,RandomForest,7,0
0.18518518518518517,0.18556421918995017,0.2256155014038086,hist_eq,vehicle_density,LogReg,123,0
0.24691358024691357,0.27499999999999997,0.24837279319763184,hist_eq,vehicle_density,RandomForest,123,0
0.37037037037037035,0.360625290202755,0.046518802642822266,hist_eq,vru_present,LogReg,42,0
0.38271604938271603,0.2919580419580419,0.22948408126831055,hist_eq,vru_present,RandomForest,42,0
0.37037037037037035,0.360625290202755,0.047634124755859375,hist_eq,vru_present,LogReg,7,0
0.3950617283950617,0.3255734919286321,0.22610759735107422,hist_eq,vru_present,RandomForest,7,0
0.37037037037037035,0.360625290202755,0.04910731315612793,hist_eq,vru_present,LogReg,123,0
0.41975308641975306,0.36390977443609024,0.22388601303100586,hist_eq,vru_present,RandomForest,123,0
0.49382716049382713,0.48246844319775595,0.021445274353027344,clahe,time_of_day,LogReg,42,0
0.5802469135802469,0.4838830584707646,0.22307038307189941,clahe,time_of_day,RandomForest,42,0
0.49382716049382713,0.48246844319775595,0.02414107322692871,clahe,time_of_day,LogReg,7,0
0.5802469135802469,0.4838830584707646,0.21838665008544922,clahe,time_of_day,RandomForest,7,0
0.49382716049382713,0.48246844319775595,0.030511856079101562,clahe,time_of_day,LogReg,123,0
0.5679012345679012,0.4615384615384615,0.22852778434753418,clahe,time_of_day,RandomForest,123,0
0.20987654320987653,0.23534798534798537,0.2679457664489746,clahe,vehicle_density,LogReg,42,0
0.1728395061728395,0.20170940170940174,0.24911785125732422,clahe,vehicle_density,RandomForest,42,0
0.20987654320987653,0.23534798534798537,0.23501229286193848,clahe,vehicle_density,LogReg,7,0
0.1728395061728395,0.20031796502384736,0.2430272102355957,clahe,vehicle_density,RandomForest,7,0
0.20987654320987653,0.23534798534798537,0.24106931686401367,clahe,vehicle_density,LogReg,123,0
0.16049382716049382,0.18640350877192982,0.2531883716583252,clahe,vehicle_density,RandomForest,123,0
0.41975308641975306,0.4067321178120617,0.0500643253326416,clahe,vru_present,LogReg,42,0
0.4567901234567901,0.3769230769230769,0.2364213466644287,clahe,vru_present,RandomForest,42,0
0.41975308641975306,0.4067321178120617,0.05013704299926758,clahe,vru_present,LogReg,7,0
0.4691358024691358,0.37095900307025464,0.24843549728393555,clahe,vru_present,RandomForest,7,0
0.41975308641975306,0.4067321178120617,0.04809260368347168,clahe,vru_present,LogReg,123,0
0.4567901234567901,0.3486842105263158,0.24251532554626465,clahe,vru_present,RandomForest,123,0
