accuracy,macro_f1,macro_precision,macro_recall,f1_class_0,f1_class_1,fold,attribute,model,version,seed,split,fit_time_sec,predict_time_test_sec,best_params,f1_class_2
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,LogisticRegression,base,42,train,0.025036334991455078,0.0005013942718505859,{},
0.691358024691358,0.6896551724137931,0.6940993788819876,0.6905487804878049,0.7126436781609196,0.6666666666666666,0,time_of_day,LogisticRegression,base,42,test,0.025036334991455078,0.0005013942718505859,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,LogisticRegression,base,7,train,0.022004127502441406,0.0009982585906982422,{},
0.691358024691358,0.6896551724137931,0.6940993788819876,0.6905487804878049,0.7126436781609196,0.6666666666666666,0,time_of_day,LogisticRegression,base,7,test,0.022004127502441406,0.0009982585906982422,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,LogisticRegression,base,123,train,0.02051568031311035,0.0005028247833251953,{},
0.691358024691358,0.6896551724137931,0.6940993788819876,0.6905487804878049,0.7126436781609196,0.6666666666666666,0,time_of_day,LogisticRegression,base,123,test,0.02051568031311035,0.0005028247833251953,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,SVM_RBF,base,42,train,0.04180312156677246,0.020531654357910156,{},
0.6790123456790124,0.6388888888888888,0.8059701492537313,0.675,0.7592592592592593,0.5185185185185185,0,time_of_day,SVM_RBF,base,42,test,0.04180312156677246,0.020531654357910156,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,SVM_RBF,base,7,train,0.04105997085571289,0.02002406120300293,{},
0.6790123456790124,0.6388888888888888,0.8059701492537313,0.675,0.7592592592592593,0.5185185185185185,0,time_of_day,SVM_RBF,base,7,test,0.04105997085571289,0.02002406120300293,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,SVM_RBF,base,123,train,0.040543556213378906,0.019528865814208984,{},
0.6790123456790124,0.6388888888888888,0.8059701492537313,0.675,0.7592592592592593,0.5185185185185185,0,time_of_day,SVM_RBF,base,123,test,0.040543556213378906,0.019528865814208984,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,RandomForest,base,42,train,0.08162188529968262,0.016532421112060547,{},
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0,time_of_day,RandomForest,base,42,test,0.08162188529968262,0.016532421112060547,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,RandomForest,base,7,train,0.07808423042297363,0.01704096794128418,{},
0.8024691358024691,0.7933673469387755,0.8596491228070176,0.8,0.8367346938775511,0.75,0,time_of_day,RandomForest,base,7,test,0.07808423042297363,0.01704096794128418,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,RandomForest,base,123,train,0.07483363151550293,0.018036365509033203,{},
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0,time_of_day,RandomForest,base,123,test,0.07483363151550293,0.018036365509033203,{},
